0.01.274.592 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.434.982 I srv    load_model: loading model '/work/GLM-5.2-GGUF/REAP50/GLM-5.2-REAP50-Q3_K_M-00001-of-00005.gguf'
0.03.384.478 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.03.384.490 W load: special_eom_id is not in special_eog_ids - the tokenizer config may be incorrect
2.02.682.621 I srv    load_model: initializing, n_slots = 8, n_ctx_slot = 2048, kv_unified = 'false'
2.02.708.117 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
2.02.708.170 I srv  llama_server: model loaded
2.02.708.177 I srv  llama_server: listening on http://127.0.0.1:8080
2.30.630.013 I slot get_availabl: id  7 | task -1 | selected slot by LRU, t_last = -1
5.13.014.773 W srv          stop: cancel task, id_task = 680
5.13.014.863 W srv    operator(): got exception: {"error":{"code":500,"message":"The model produced output that does not match the expected peg-native format","type":"server_error"}}
5.13.073.518 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = 416444800678
5.13.115.726 I slot launch_slot_: id  4 | task 1985 | processing task, is_child = 0
5.13.426.840 I slot print_timing: id  5 | task 1590 | n_decoded =    389, tg =  11.88 t/s, tg_3s =  11.14 t/s
5.13.759.255 I slot print_timing: id  3 | task 1376 | n_decoded =    602, tg =  11.87 t/s, tg_3s =  11.11 t/s
5.14.170.052 I slot print_timing: id  6 | task 1873 | prompt eval time =     195.11 ms /    34 tokens (    5.74 ms per token,   174.26 tokens per second)
5.14.170.063 I slot print_timing: id  6 | task 1873 |        eval time =   10025.72 ms /   120 tokens (   83.55 ms per token,    11.97 tokens per second)
5.14.170.064 I slot print_timing: id  6 | task 1873 |       total time =   10220.84 ms /   154 tokens
5.14.170.065 I slot print_timing: id  6 | task 1873 |    graphs reused =       1849
5.14.170.147 I slot      release: id  6 | task 1873 | stop processing: n_tokens = 156, truncated = 0
5.14.241.288 I slot get_availabl: id  6 | task -1 | selected slot by LRU, t_last = 416445960417
5.14.247.436 I slot launch_slot_: id  6 | task 1997 | processing task, is_child = 0
5.15.111.838 I slot print_timing: id  7 | task 1870 | n_decoded =    132, tg =  11.71 t/s, tg_3s =  10.63 t/s
5.15.191.426 I slot print_timing: id  1 | task 836 | n_decoded =   1150, tg =  11.96 t/s, tg_3s =  10.64 t/s
5.15.191.763 I slot print_timing: id  2 | task 1833 | n_decoded =    169, tg =  11.71 t/s, tg_3s =  10.64 t/s
5.15.435.529 I slot print_timing: id  0 | task 1617 | n_decoded =    386, tg =  11.87 t/s, tg_3s =  10.65 t/s
5.16.497.328 I slot print_timing: id  5 | task 1590 | n_decoded =    425, tg =  11.87 t/s, tg_3s =  11.72 t/s
5.16.824.513 I slot print_timing: id  3 | task 1376 | n_decoded =    638, tg =  11.86 t/s, tg_3s =  11.74 t/s
5.18.128.983 I slot print_timing: id  7 | task 1870 | n_decoded =    169, tg =  11.82 t/s, tg_3s =  12.26 t/s
5.18.208.408 I slot print_timing: id  1 | task 836 | n_decoded =   1187, tg =  11.97 t/s, tg_3s =  12.26 t/s
5.18.208.757 I slot print_timing: id  2 | task 1833 | n_decoded =    206, tg =  11.80 t/s, tg_3s =  12.26 t/s
5.18.451.169 I slot print_timing: id  0 | task 1617 | n_decoded =    423, tg =  11.91 t/s, tg_3s =  12.27 t/s
5.19.515.804 I slot print_timing: id  5 | task 1590 | n_decoded =    462, tg =  11.90 t/s, tg_3s =  12.26 t/s
5.19.842.814 I slot print_timing: id  3 | task 1376 | n_decoded =    675, tg =  11.88 t/s, tg_3s =  12.26 t/s
5.20.253.173 I slot print_timing: id  4 | task 1985 | prompt eval time =     310.74 ms /    75 tokens (    4.14 ms per token,   241.36 tokens per second)
5.20.253.183 I slot print_timing: id  4 | task 1985 |        eval time =    6826.66 ms /    83 tokens (   82.25 ms per token,    12.16 tokens per second)
5.20.253.184 I slot print_timing: id  4 | task 1985 |       total time =    7137.40 ms /   158 tokens
5.20.253.185 I slot print_timing: id  4 | task 1985 |    graphs reused =       1919
5.20.253.246 I slot      release: id  4 | task 1985 | stop processing: n_tokens = 160, truncated = 0
5.20.316.129 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = 416452043515
5.20.322.325 I slot launch_slot_: id  4 | task 2071 | processing task, is_child = 0
5.21.158.924 I slot print_timing: id  7 | task 1870 | n_decoded =    204, tg =  11.78 t/s, tg_3s =  11.55 t/s
5.21.238.569 I slot print_timing: id  1 | task 836 | n_decoded =   1222, tg =  11.95 t/s, tg_3s =  11.55 t/s
5.21.238.920 I slot print_timing: id  2 | task 1833 | n_decoded =    241, tg =  11.77 t/s, tg_3s =  11.55 t/s
5.21.484.160 I slot print_timing: id  0 | task 1617 | n_decoded =    458, tg =  11.88 t/s, tg_3s =  11.54 t/s
5.22.549.856 I slot print_timing: id  5 | task 1590 | n_decoded =    497, tg =  11.87 t/s, tg_3s =  11.54 t/s
5.22.714.355 I slot print_timing: id  6 | task 1997 | n_decoded =    100, tg =  12.10 t/s, tg_3s =  12.10 t/s
5.22.877.692 I slot print_timing: id  3 | task 1376 | n_decoded =    710, tg =  11.86 t/s, tg_3s =  11.53 t/s
5.24.192.962 I slot print_timing: id  7 | task 1870 | n_decoded =    241, tg =  11.84 t/s, tg_3s =  12.19 t/s
5.24.272.975 I slot print_timing: id  1 | task 836 | n_decoded =   1259, tg =  11.96 t/s, tg_3s =  12.19 t/s
5.24.273.297 I slot print_timing: id  2 | task 1833 | n_decoded =    278, tg =  11.82 t/s, tg_3s =  12.19 t/s
5.24.517.979 I slot print_timing: id  0 | task 1617 | n_decoded =    495, tg =  11.90 t/s, tg_3s =  12.20 t/s
5.25.591.240 I slot print_timing: id  5 | task 1590 | n_decoded =    534, tg =  11.89 t/s, tg_3s =  12.17 t/s
5.25.754.235 I slot print_timing: id  6 | task 1997 | n_decoded =    137, tg =  12.12 t/s, tg_3s =  12.17 t/s
5.25.917.866 I slot print_timing: id  3 | task 1376 | n_decoded =    747, tg =  11.88 t/s, tg_3s =  12.17 t/s
5.26.000.075 I slot print_timing: id  1 | task 836 | prompt eval time =     172.76 ms /    29 tokens (    5.96 ms per token,   167.86 tokens per second)
5.26.000.083 I slot print_timing: id  1 | task 836 |        eval time =  106988.92 ms /  1280 tokens (   83.59 ms per token,    11.96 tokens per second)
5.26.000.084 I slot print_timing: id  1 | task 836 |       total time =  107161.68 ms /  1309 tokens
5.26.000.088 I slot print_timing: id  1 | task 836 |    graphs reused =       1983
5.26.000.154 I slot      release: id  1 | task 836 | stop processing: n_tokens = 1311, truncated = 0
5.26.088.008 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 416457790423
5.26.131.765 I slot launch_slot_: id  1 | task 2140 | processing task, is_child = 0
5.27.226.891 I slot print_timing: id  7 | task 1870 | n_decoded =    276, tg =  11.80 t/s, tg_3s =  11.54 t/s
5.27.306.093 I slot print_timing: id  2 | task 1833 | n_decoded =    313, tg =  11.79 t/s, tg_3s =  11.54 t/s
5.27.549.541 I slot print_timing: id  0 | task 1617 | n_decoded =    530, tg =  11.88 t/s, tg_3s =  11.55 t/s
5.28.200.611 I slot print_timing: id  1 | task 2140 | prompt eval time =     193.75 ms /    39 tokens (    4.97 ms per token,   201.29 tokens per second)
5.28.200.620 I slot print_timing: id  1 | task 2140 |        eval time =    1875.05 ms /    24 tokens (   78.13 ms per token,    12.80 tokens per second)
5.28.200.621 I slot print_timing: id  1 | task 2140 |       total time =    2068.81 ms /    63 tokens
5.28.200.621 I slot print_timing: id  1 | task 2140 |    graphs reused =       2005
5.28.200.671 I slot      release: id  1 | task 2140 | stop processing: n_tokens = 65, truncated = 0
5.28.289.224 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 416459990941
5.28.292.242 I slot launch_slot_: id  1 | task 2166 | processing task, is_child = 0
5.28.630.102 I slot print_timing: id  5 | task 1590 | n_decoded =    568, tg =  11.85 t/s, tg_3s =  11.19 t/s
5.28.794.139 I slot print_timing: id  6 | task 1997 | n_decoded =    171, tg =  11.92 t/s, tg_3s =  11.18 t/s
5.28.955.861 I slot print_timing: id  3 | task 1376 | n_decoded =    781, tg =  11.85 t/s, tg_3s =  11.19 t/s
5.28.956.193 I slot print_timing: id  4 | task 2071 | n_decoded =    100, tg =  11.94 t/s, tg_3s =  11.94 t/s
5.30.259.689 I slot print_timing: id  7 | task 1870 | n_decoded =    312, tg =  11.81 t/s, tg_3s =  11.87 t/s
5.30.339.771 I slot print_timing: id  2 | task 1833 | n_decoded =    349, tg =  11.80 t/s, tg_3s =  11.87 t/s
5.30.583.292 I slot print_timing: id  0 | task 1617 | n_decoded =    566, tg =  11.88 t/s, tg_3s =  11.87 t/s
5.31.561.388 I slot print_timing: id  5 | task 1590 | prompt eval time =     200.20 ms /    38 tokens (    5.27 ms per token,   189.81 tokens per second)
5.31.561.399 I slot print_timing: id  5 | task 1590 |        eval time =   50871.36 ms /   604 tokens (   84.22 ms per token,    11.87 tokens per second)
5.31.561.400 I slot print_timing: id  5 | task 1590 |       total time =   51071.56 ms /   642 tokens
5.31.561.401 I slot print_timing: id  5 | task 1590 |    graphs reused =       2042
5.31.561.479 I slot      release: id  5 | task 1590 | stop processing: n_tokens = 644, truncated = 0
5.31.625.496 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = 416463351748
5.31.647.833 I slot launch_slot_: id  5 | task 2207 | processing task, is_child = 0
5.31.874.370 I slot print_timing: id  6 | task 1997 | n_decoded =    207, tg =  11.88 t/s, tg_3s =  11.69 t/s
5.31.958.787 I slot print_timing: id  3 | task 1376 | n_decoded =    816, tg =  11.84 t/s, tg_3s =  11.66 t/s
5.31.959.141 I slot print_timing: id  4 | task 2071 | n_decoded =    135, tg =  11.86 t/s, tg_3s =  11.66 t/s
5.33.261.026 I slot print_timing: id  7 | task 1870 | n_decoded =    347, tg =  11.79 t/s, tg_3s =  11.66 t/s
5.33.340.199 I slot print_timing: id  2 | task 1833 | n_decoded =    384, tg =  11.78 t/s, tg_3s =  11.66 t/s
5.33.583.533 I slot print_timing: id  0 | task 1617 | n_decoded =    601, tg =  11.86 t/s, tg_3s =  11.67 t/s
5.34.880.900 I slot print_timing: id  6 | task 1997 | n_decoded =    244, tg =  11.94 t/s, tg_3s =  12.31 t/s
5.34.960.385 I slot print_timing: id  3 | task 1376 | n_decoded =    853, tg =  11.86 t/s, tg_3s =  12.33 t/s
5.34.960.716 I slot print_timing: id  4 | task 2071 | n_decoded =    172, tg =  11.96 t/s, tg_3s =  12.33 t/s
5.36.337.869 I slot print_timing: id  7 | task 1870 | n_decoded =    385, tg =  11.85 t/s, tg_3s =  12.35 t/s
5.36.416.827 I slot print_timing: id  2 | task 1833 | n_decoded =    422, tg =  11.83 t/s, tg_3s =  12.35 t/s
5.36.658.427 I slot print_timing: id  0 | task 1617 | n_decoded =    639, tg =  11.89 t/s, tg_3s =  12.36 t/s
5.36.658.770 I slot print_timing: id  1 | task 2166 | n_decoded =    100, tg =  12.20 t/s, tg_3s =  12.20 t/s
5.37.961.099 I slot print_timing: id  6 | task 1997 | n_decoded =    282, tg =  12.00 t/s, tg_3s =  12.34 t/s
5.38.041.459 I slot print_timing: id  3 | task 1376 | n_decoded =    891, tg =  11.88 t/s, tg_3s =  12.33 t/s
5.38.041.795 I slot print_timing: id  4 | task 2071 | n_decoded =    210, tg =  12.02 t/s, tg_3s =  12.33 t/s
5.39.341.635 I slot print_timing: id  7 | task 1870 | n_decoded =    422, tg =  11.89 t/s, tg_3s =  12.32 t/s
5.39.421.543 I slot print_timing: id  2 | task 1833 | n_decoded =    459, tg =  11.87 t/s, tg_3s =  12.31 t/s
5.39.664.124 I slot print_timing: id  0 | task 1617 | n_decoded =    676, tg =  11.91 t/s, tg_3s =  12.31 t/s
5.39.664.457 I slot print_timing: id  1 | task 2166 | n_decoded =    137, tg =  12.23 t/s, tg_3s =  12.31 t/s
5.39.909.983 I slot print_timing: id  5 | task 2207 | n_decoded =    100, tg =  12.44 t/s, tg_3s =  12.44 t/s
5.40.969.955 I slot print_timing: id  6 | task 1997 | n_decoded =    319, tg =  12.03 t/s, tg_3s =  12.30 t/s
5.41.050.338 I slot print_timing: id  3 | task 1376 | n_decoded =    928, tg =  11.89 t/s, tg_3s =  12.30 t/s
5.41.050.675 I slot print_timing: id  4 | task 2071 | n_decoded =    247, tg =  12.06 t/s, tg_3s =  12.30 t/s
5.42.349.900 I slot print_timing: id  7 | task 1870 | n_decoded =    459, tg =  11.92 t/s, tg_3s =  12.30 t/s
5.42.429.756 I slot print_timing: id  2 | task 1833 | n_decoded =    496, tg =  11.90 t/s, tg_3s =  12.30 t/s
5.42.672.150 I slot print_timing: id  0 | task 1617 | n_decoded =    713, tg =  11.93 t/s, tg_3s =  12.30 t/s
5.42.672.491 I slot print_timing: id  1 | task 2166 | n_decoded =    174, tg =  12.24 t/s, tg_3s =  12.30 t/s
5.42.917.148 I slot print_timing: id  5 | task 2207 | n_decoded =    137, tg =  12.41 t/s, tg_3s =  12.30 t/s
5.43.890.059 I slot print_timing: id  6 | task 1997 | prompt eval time =     205.53 ms /    39 tokens (    5.27 ms per token,   189.76 tokens per second)
5.43.890.070 I slot print_timing: id  6 | task 1997 |        eval time =   29437.06 ms /   355 tokens (   82.92 ms per token,    12.06 tokens per second)
5.43.890.070 I slot print_timing: id  6 | task 1997 |       total time =   29642.59 ms /   394 tokens
5.43.890.072 I slot print_timing: id  6 | task 1997 |    graphs reused =       2189
5.43.890.160 I slot      release: id  6 | task 1997 | stop processing: n_tokens = 397, truncated = 0
5.43.960.718 I slot get_availabl: id  6 | task -1 | selected slot by LCP similarity, sim_best = 0.129 (> 0.100 thold), f_keep = 0.010
5.43.974.745 I slot launch_slot_: id  6 | task 2358 | processing task, is_child = 0
5.44.140.583 I slot print_timing: id  3 | task 1376 | n_decoded =    965, tg =  11.90 t/s, tg_3s =  11.97 t/s
5.44.140.915 I slot print_timing: id  4 | task 2071 | n_decoded =    284, tg =  12.05 t/s, tg_3s =  11.97 t/s
5.45.365.060 I slot print_timing: id  7 | task 1870 | n_decoded =    495, tg =  11.92 t/s, tg_3s =  11.94 t/s
5.45.444.645 I slot print_timing: id  2 | task 1833 | n_decoded =    532, tg =  11.90 t/s, tg_3s =  11.94 t/s
5.45.687.584 I slot print_timing: id  0 | task 1617 | n_decoded =    749, tg =  11.93 t/s, tg_3s =  11.94 t/s
5.45.687.921 I slot print_timing: id  1 | task 2166 | n_decoded =    210, tg =  12.19 t/s, tg_3s =  11.94 t/s
5.45.931.849 I slot print_timing: id  5 | task 2207 | n_decoded =    173, tg =  12.31 t/s, tg_3s =  11.94 t/s
5.47.160.637 I slot print_timing: id  3 | task 1376 | n_decoded =   1002, tg =  11.91 t/s, tg_3s =  12.25 t/s
5.47.160.979 I slot print_timing: id  4 | task 2071 | n_decoded =    321, tg =  12.08 t/s, tg_3s =  12.25 t/s
5.48.382.772 I slot print_timing: id  7 | task 1870 | n_decoded =    532, tg =  11.94 t/s, tg_3s =  12.26 t/s
5.48.462.981 I slot print_timing: id  2 | task 1833 | n_decoded =    569, tg =  11.93 t/s, tg_3s =  12.26 t/s
5.48.708.176 I slot print_timing: id  0 | task 1617 | n_decoded =    786, tg =  11.95 t/s, tg_3s =  12.25 t/s
5.48.708.514 I slot print_timing: id  1 | task 2166 | n_decoded =    247, tg =  12.20 t/s, tg_3s =  12.25 t/s
5.48.954.106 I slot print_timing: id  5 | task 2207 | n_decoded =    210, tg =  12.30 t/s, tg_3s =  12.24 t/s
5.49.117.464 I slot print_timing: id  4 | task 2071 | prompt eval time =     255.57 ms /    53 tokens (    4.82 ms per token,   207.38 tokens per second)
5.49.117.473 I slot print_timing: id  4 | task 2071 |        eval time =   28539.54 ms /   345 tokens (   82.72 ms per token,    12.09 tokens per second)
5.49.117.474 I slot print_timing: id  4 | task 2071 |       total time =   28795.11 ms /   398 tokens
5.49.117.476 I slot print_timing: id  4 | task 2071 |    graphs reused =       2248
5.49.117.537 I slot      release: id  4 | task 2071 | stop processing: n_tokens = 400, truncated = 0
5.49.117.635 W common_chat_peg_parse: unparsed peg-native output: Hey guys, listen up! ðŸ Drop your boring local spots because I just found the ultimate cheat code for eating out. Thereâ€™s this wild restaurant called *Buena Onda* (which is basically Gen-Z slang for "we're vibing") and it serves up the most legit Argentinian food in town. ðŸ ðŸ 

First off, the vibe is immaculate. You walk in and it feels like youâ€™ve teleported straight into a chill Argentinian pampas. *The aesthetic is 100% pure Buenos Aires street styleâ€”think neon lights, crazy graffiti on the walls, and a giant neon llama wearing sunglasses.* ðŸ ðŸ Itâ€™s giving maximum chill, zero pretentious energy. ðŸ

Now, let's talk about the actual food because that's why we're here. You can skip the sad, tiny portions at those overpriced downtown places. *At Buena Onda, they serve you plates of food so massive you could literally use them as a surfboard.* ðŸ We're talking mountains of authentic Argentinian *asado* (thatâ€™s BBQ for the uncultured), endless rivers of chimichur sauce, and sweet, sweet empanadas that are baked, not folded like sad origami. ðŸ 

And the absolute best part? The staff doesn't treat you like a walking ATM. *The servers are super chill, they play lo-fi hip-hop on the speakers, and they actually let you stay for hours playing Jenga on the patio tables.* ðŸ No rushed "here is your bill, please vacate" vibes here. You just eat, vibe, and exist. 

You down to check it out this weekend? Hit me up! ðŸ
5.49.117.717 W srv          stop: cancel task, id_task = 2071
5.49.117.820 W srv    operator(): got exception: {"error":{"code":500,"message":"The model produced output that does not match the expected peg-native format","type":"server_error"}}
5.49.180.545 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = 416480907806
5.49.194.580 I slot launch_slot_: id  4 | task 2423 | processing task, is_child = 0
5.49.890.291 I slot print_timing: id  1 | task 2166 | prompt eval time =     167.19 ms /    29 tokens (    5.77 ms per token,   173.46 tokens per second)
5.49.890.301 I slot print_timing: id  1 | task 2166 |        eval time =   21430.83 ms /   260 tokens (   82.43 ms per token,    12.13 tokens per second)
5.49.890.301 I slot print_timing: id  1 | task 2166 |       total time =   21598.02 ms /   289 tokens
5.49.890.317 I slot print_timing: id  1 | task 2166 |    graphs reused =       2253
5.49.890.366 I slot      release: id  1 | task 2166 | stop processing: n_tokens = 291, truncated = 0
5.49.978.717 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.148 (> 0.100 thold), f_keep = 0.014
5.49.988.939 I slot launch_slot_: id  1 | task 2432 | processing task, is_child = 0
5.50.224.170 I slot print_timing: id  3 | task 1376 | n_decoded =   1037, tg =  11.89 t/s, tg_3s =  11.42 t/s
5.51.450.771 I slot print_timing: id  7 | task 1870 | n_decoded =    567, tg =  11.91 t/s, tg_3s =  11.41 t/s
5.51.531.614 I slot print_timing: id  2 | task 1833 | n_decoded =    604, tg =  11.90 t/s, tg_3s =  11.41 t/s
5.51.776.626 I slot print_timing: id  0 | task 1617 | n_decoded =    821, tg =  11.92 t/s, tg_3s =  11.41 t/s
5.51.776.975 I slot print_timing: id  1 | task 2432 | prompt eval time =     148.88 ms /    23 tokens (    6.47 ms per token,   154.48 tokens per second)
5.51.776.978 I slot print_timing: id  1 | task 2432 |        eval time =    1639.13 ms /    21 tokens (   78.05 ms per token,    12.81 tokens per second)
5.51.776.979 I slot print_timing: id  1 | task 2432 |       total time =    1788.02 ms /    44 tokens
5.51.776.980 I slot print_timing: id  1 | task 2432 |    graphs reused =       2272
5.51.777.037 I slot      release: id  1 | task 2432 | stop processing: n_tokens = 47, truncated = 0
5.51.777.123 W common_chat_peg_parse: unparsed peg-native output: à¤­à¥‡à¤¤ à¤ à¤, à¤
à¤ªà¤²gham à¤ à¤,
à¤•am à¤ à¤.
5.51.777.188 W srv          stop: cancel task, id_task = 2432
5.51.777.246 W srv    operator(): got exception: {"error":{"code":500,"message":"The model produced output that does not match the expected peg-native format","type":"server_error"}}
5.51.864.726 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 416483567306
5.51.867.221 I slot launch_slot_: id  1 | task 2456 | processing task, is_child = 0
5.52.095.042 I slot print_timing: id  5 | task 2207 | n_decoded =    244, tg =  12.07 t/s, tg_3s =  10.82 t/s
5.52.593.773 I slot print_timing: id  6 | task 2358 | n_decoded =    100, tg =  11.83 t/s, tg_3s =  11.83 t/s
5.53.247.923 I slot print_timing: id  3 | task 1376 | n_decoded =   1072, tg =  11.88 t/s, tg_3s =  11.58 t/s
5.54.474.905 I slot print_timing: id  7 | task 1870 | n_decoded =    602, tg =  11.89 t/s, tg_3s =  11.57 t/s
5.54.555.314 I slot print_timing: id  2 | task 1833 | n_decoded =    639, tg =  11.88 t/s, tg_3s =  11.58 t/s
5.54.800.148 I slot print_timing: id  0 | task 1617 | n_decoded =    856, tg =  11.91 t/s, tg_3s =  11.58 t/s
5.55.129.417 I slot print_timing: id  5 | task 2207 | n_decoded =    281, tg =  12.08 t/s, tg_3s =  12.19 t/s
5.55.621.331 I slot print_timing: id  6 | task 2358 | n_decoded =    137, tg =  11.93 t/s, tg_3s =  12.22 t/s
5.56.274.780 I slot print_timing: id  3 | task 1376 | n_decoded =   1109, tg =  11.89 t/s, tg_3s =  12.22 t/s
5.57.501.761 I slot print_timing: id  7 | task 1870 | n_decoded =    639, tg =  11.91 t/s, tg_3s =  12.22 t/s
5.57.582.427 I slot print_timing: id  2 | task 1833 | n_decoded =    676, tg =  11.90 t/s, tg_3s =  12.22 t/s
5.57.747.021 I slot print_timing: id  4 | task 2423 | n_decoded =    100, tg =  11.97 t/s, tg_3s =  11.97 t/s
5.57.827.313 I slot print_timing: id  0 | task 1617 | n_decoded =    893, tg =  11.92 t/s, tg_3s =  12.22 t/s
5.58.155.209 I slot print_timing: id  5 | task 2207 | n_decoded =    318, tg =  12.10 t/s, tg_3s =  12.23 t/s
5.58.647.114 I slot print_timing: id  6 | task 2358 | n_decoded =    174, tg =  12.00 t/s, tg_3s =  12.23 t/s
5.59.300.112 I slot print_timing: id  3 | task 1376 | n_decoded =   1146, tg =  11.90 t/s, tg_3s =  12.23 t/s
6.00.198.809 I slot print_timing: id  1 | task 2456 | prompt eval time =     226.53 ms /    48 tokens (    4.72 ms per token,   211.90 tokens per second)
6.00.198.817 I slot print_timing: id  1 | task 2456 |        eval time =    8105.03 ms /   100 tokens (   81.05 ms per token,    12.34 tokens per second)
6.00.198.818 I slot print_timing: id  1 | task 2456 |       total time =    8331.56 ms /   148 tokens
6.00.198.819 I slot print_timing: id  1 | task 2456 |    graphs reused =       2370
6.00.198.882 I slot      release: id  1 | task 2456 | stop processing: n_tokens = 150, truncated = 0
6.00.287.492 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 416491989151
6.00.293.579 I slot launch_slot_: id  1 | task 2558 | processing task, is_child = 0
6.00.584.472 I slot print_timing: id  2 | task 1833 | n_decoded =    711, tg =  11.88 t/s, tg_3s =  11.66 t/s
6.00.586.177 I slot print_timing: id  7 | task 1870 | n_decoded =    675, tg =  11.89 t/s, tg_3s =  11.67 t/s
6.00.750.988 I slot print_timing: id  4 | task 2423 | n_decoded =    135, tg =  11.89 t/s, tg_3s =  11.65 t/s
6.00.831.565 I slot print_timing: id  0 | task 1617 | n_decoded =    928, tg =  11.91 t/s, tg_3s =  11.65 t/s
6.01.158.893 I slot print_timing: id  5 | task 2207 | n_decoded =    353, tg =  12.05 t/s, tg_3s =  11.65 t/s
6.01.652.396 I slot print_timing: id  6 | task 2358 | n_decoded =    209, tg =  11.94 t/s, tg_3s =  11.65 t/s
6.02.306.723 I slot print_timing: id  3 | task 1376 | n_decoded =   1181, tg =  11.90 t/s, tg_3s =  11.64 t/s
6.02.798.966 I slot print_timing: id  5 | task 2207 | prompt eval time =     226.16 ms /    48 tokens (    4.71 ms per token,   212.24 tokens per second)
6.02.798.976 I slot print_timing: id  5 | task 2207 |        eval time =   30924.93 ms /   373 tokens (   82.91 ms per token,    12.06 tokens per second)
6.02.798.977 I slot print_timing: id  5 | task 2207 |       total time =   31151.09 ms /   421 tokens
6.02.798.978 I slot print_timing: id  5 | task 2207 |    graphs reused =       2397
6.02.799.049 I slot      release: id  5 | task 2207 | stop processing: n_tokens = 423, truncated = 0
6.02.863.047 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = 416494589319
6.02.877.795 I slot launch_slot_: id  5 | task 2589 | processing task, is_child = 0
6.03.655.819 I slot print_timing: id  2 | task 1833 | n_decoded =    747, tg =  11.88 t/s, tg_3s =  11.72 t/s
6.03.657.421 I slot print_timing: id  7 | task 1870 | n_decoded =    711, tg =  11.89 t/s, tg_3s =  11.72 t/s
6.03.820.440 I slot print_timing: id  4 | task 2423 | n_decoded =    171, tg =  11.85 t/s, tg_3s =  11.73 t/s
6.03.900.961 I slot print_timing: id  0 | task 1617 | n_decoded =    964, tg =  11.90 t/s, tg_3s =  11.73 t/s
6.04.721.506 I slot print_timing: id  6 | task 2358 | n_decoded =    245, tg =  11.90 t/s, tg_3s =  11.73 t/s
6.05.374.378 I slot print_timing: id  3 | task 1376 | n_decoded =   1217, tg =  11.89 t/s, tg_3s =  11.74 t/s
6.06.684.958 I slot print_timing: id  2 | task 1833 | n_decoded =    784, tg =  11.89 t/s, tg_3s =  12.21 t/s
6.06.686.550 I slot print_timing: id  7 | task 1870 | n_decoded =    748, tg =  11.90 t/s, tg_3s =  12.21 t/s
6.06.849.041 I slot print_timing: id  4 | task 2423 | n_decoded =    208, tg =  11.92 t/s, tg_3s =  12.22 t/s
6.06.929.792 I slot print_timing: id  0 | task 1617 | n_decoded =   1001, tg =  11.92 t/s, tg_3s =  12.22 t/s
6.07.751.032 I slot print_timing: id  6 | task 2358 | n_decoded =    282, tg =  11.94 t/s, tg_3s =  12.21 t/s
6.08.415.604 I slot print_timing: id  3 | task 1376 | n_decoded =   1254, tg =  11.90 t/s, tg_3s =  12.17 t/s
6.08.744.607 I slot print_timing: id  1 | task 2558 | n_decoded =    100, tg =  12.13 t/s, tg_3s =  12.13 t/s
6.09.243.378 I slot print_timing: id  7 | task 1870 | prompt eval time =     185.54 ms /    37 tokens (    5.01 ms per token,   199.42 tokens per second)
6.09.243.391 I slot print_timing: id  7 | task 1870 |        eval time =   65407.72 ms /   779 tokens (   83.96 ms per token,    11.91 tokens per second)
6.09.243.391 I slot print_timing: id  7 | task 1870 |       total time =   65593.26 ms /   816 tokens
6.09.243.393 I slot print_timing: id  7 | task 1870 |    graphs reused =       2470
6.09.243.471 I slot      release: id  7 | task 1870 | stop processing: n_tokens = 818, truncated = 0
6.09.243.615 W common_chat_peg_parse: unparsed peg-native output: "
